Title,Date,Location,Department,Views,Amount(INR)
Gonda Police Department,12-11-17,"Ahmedabad,Gujarat",Police Harassment,5327,500
Paid Bribe for Police  Verification for Passport Renewal,10-11-17,"Bangalore,Karnataka",Police Verification for Passport,2600,1000
Paid fine for wrong allegations,10-11-17,"Thiruvallur,TamilNadu",False Allegations,4270,1000
Police man walking without uniform,07-11-17,"Gurgaon,Haryana",Police Harassment,4863,300
Very serious  corruption in govt job selection  committee,03-11-17,"Shimoga,Karnataka",Others,7888,300000
Verification of passport,03-11-17,"Bangalore,Karnataka",Activities on Beat,3700,10000
Bribe received from bbmp,03-11-17,"Bangalore,Karnataka",Registration of Flat or Apartment,4677,12000
Bribe gave for passport,03-11-17,"Kanpur,UttarPradesh",Police Verification for Passport,5899,800
Paid for 1000,02-11-17,"Ahmedabad,Gujarat",Traffic Violations,6142,1000
Had to paid to police officer,01-11-17,"Bangalore,Karnataka",Change of Address,4706,200
Certified copy of partition deed,01-11-17,"Bangalore,Karnataka",Partition of Property,4129,500
Bribe decided depeding of caste of applicant,01-11-17,"Sonipat,Haryana",Police Verification for Passport,3503,500
Service pension to Family pension cost me INR 2000,31-10-17,"Visakhapatnam,AndhraPradesh",Pension Transfer,6730,2000
Bribe taken by traffic police,30-10-17,"NewDelhi,Delhi",Traffic Violations,3758,200
NRI demonetisation,30-10-17,"Chennai,TamilNadu",Demonetisation,5622,16000
Chennai  Corporation - Building Plan - Forced to pay 80K for simple approval,26-10-17,"Chennai,TamilNadu",Building Plan Approval,5876,80000
Chennai Corporation - I Was forced to pay a bribe to get a Sub-division of our plot!!,26-10-17,"Chennai,TamilNadu",Building Plan Approval,4206,70000
Gave a negative report as I belong to UP and being a muslim,26-10-17,"Hyderabad,Telangana",Police Verification for Passport,4767,1000
Wife complained false allegation,26-10-17,"Kanpur,UttarPradesh",Arrested by Police,4671,17000
Bribe for Domicile certificate (Mumbai),26-10-17,"Mumbai,Maharashtra",Domicile Certificate,7833,21000
Bride for police verification,22-10-17,"Jagtial,Telangana",Police Verification for Passport,2934,1000
Driving school-RTO nexus,21-10-17,"Trivandrum,Kerala",Driving licence Process,4814,300
I paid bribe for police verification.,21-10-17,"Mysore,Karnataka",Police Verification for Passport,6148,300
Daytime Bribery inside the Police Station,18-10-17,"Bangalore,Karnataka",Police Verification for Passport,2787,500
Marriage registrations in Kakinada Sarpavaram Registration office are asking for 3000 Rs Bribe,16-10-17,"Kakinada,AndhraPradesh",Marriage Registration,6373,3000
Had to bribe for getting Subsidy,16-10-17,"Guwahati,Assam",New Company or Business Registration,5798,100000
We had to bribe an Officer for getting our Factories registration…,16-10-17,"Guwahati,Assam",Others,6254,50000
Had to bribe to getting Labour License,16-10-17,"Guwahati,Assam",Register as Principal Employer,5843,15000
Had to bribe for getting Labour License,16-10-17,"Guwahati,Assam",Register as Principal Employer,5644,15000
Parking,15-10-17,"Gwalior,MadhyaPradesh",Traffic Violations,4804,500
Bribe for Police Verification,13-10-17,"Bangalore,Karnataka",Police Verification for Passport,4597,500
Bribe for registering apartment,12-10-17,"Kavali,AndhraPradesh",Registration of Flat or Apartment,4073,15000
Bribed  Police Officer for verification of wife's passpaort,11-10-17,"NewDelhi,Delhi",Police Verification for Passport,5015,200
A bribe as an international visitor,09-10-17,"Abohar,Punjab",Customs,6965,200000
Police refused to lodge complaint until bribed,09-10-17,"Mumbai,Maharashtra",Lodging Police Complaint,4622,10000
Paid thirty thousand bribe to stop getting harassed,08-10-17,"Hyderabad,Telangana",IT scrutiny,6698,30000
BTM layout Subregistrar office,07-10-17,"Bangalore,Karnataka",Land Registration,4613,14000
Traffic police,07-10-17,"Bangalore,Karnataka",Traffic Violations,2424,5000
PAID BRIBE FOR AADHAAR CARD FOR MY DAUGHTER AND FOR MOBILE UPDATE,06-10-17,"Bangalore,Karnataka",Aadhaar Card Process,4514,50
Police verification,05-10-17,"Bangalore,Karnataka",Police Verification for Passport,2657,300
"Issuing of driving license, forced to pay a bribe at Rohini License issuing office",05-10-17,"NewDelhi,Delhi",Driving licence Process,5281,2500
After land purchase came to mutation,05-10-17,"Yadgir,Karnataka",Urban Land Ceiling Clearance Certificate,5019,4000
After land purchase  to mutetiomutation,05-10-17,"Yadgir,Karnataka",Urban Land Ceiling Clearance Certificate,6229,4000
Paid bribe to the police-officer who came for verification,04-10-17,"Noida,UttarPradesh",Police Verification for Passport,5266,500
Trade license for new registration,04-10-17,"Bangalore,Karnataka",Trade License,3903,20000
Paid a bribe of 8000rs for my flat registration,02-10-17,"Bangalore,Karnataka",Registration of Flat or Apartment,3371,8000
Electricity meter change to my name,30-09-17,"Bangalore,Karnataka",Change of Name in Records,6237,12000
I Paid Rs. 200 to Police in Pune.,29-09-17,"Pune,Maharashtra",Traffic Violations,5584,200
Paid bribe at police checkpost,27-09-17,"Theni,TamilNadu",Activities on Beat,3663,50
No Parking Mafia,26-09-17,"Bangalore,Karnataka",Traffic Violations,2391,500
Paid bribe in toilet for tax reciept,26-09-17,"Bangalore,Karnataka",House Tax,4230,300
Bad cops are everywhere,25-09-17,"Bangalore,Karnataka",Police Harassment,2769,500
This is for Haibowal Kalan,24-09-17,"Ludhiana,Punjab",Electrical Inspection,6609,500
Verification bribe,23-09-17,"Hubli,Karnataka",Background Verification,4139,1300
Paid a bPaid a Bribe of Rs 350 for Passport verification at Bhrasht Nagar Police stationribe,22-09-17,"Alleppey,Kerala",Attestation,4866,52000
Contract of tube well,22-09-17,"Unnao,UttarPradesh",Contract Work,6951,50000
PAID FOR SPEED UP WORK,21-09-17,"Bangalore,Karnataka",Khata Transfer,3945,500
Transformer repair,21-09-17,"Tiruchirappalli,TamilNadu",Transformer Maintenance,5166,7000
Legal opinion for handing Over road Widening area,18-09-17,"Pune,Maharashtra",Building Plan Approval,4840,25000
"BTM layout Subregistrar office, government servants",17-09-17,"Bangalore,Karnataka",Land Registration,4902,12000
Court Order Copy,15-09-17,"Tumkur,Karnataka",Property Tax,6136,200
I gave a small loan of a million dollars,14-09-17,"Bally,WestBengal",Loan Sanctioning,6069,1000000
Bribe to police officer,13-09-17,"Panaji,Goa",Traffic Violations,4794,700
Bribe for passport verification.,12-09-17,"Raipur,Chhattisgarh",Police Verification for Passport,4751,500
Charged Rs 120 for Adhaar enrollment,11-09-17,"Noida,UttarPradesh",Others,6689,120
"Subregistrar office, btm layout",11-09-17,"Bangalore,Karnataka",Registration of Property,3838,20000
Bribe for registration in BTM layout subregistrar office,10-09-17,"Bangalore,Karnataka",Land Registration,3453,20000
Paid bribe at customs.,10-09-17,"Hyderabad,Telangana",Customs,4898,5000
Trade licenses,10-09-17,"Bangalore,Karnataka",Trade License,5369,20000
Paid bribe for deleting minor guardian in rtc,10-09-17,"Shimoga,Karnataka",7/12 Extract,5410,2500
Taking advantage of police uniform,08-09-17,"Thane,Maharashtra",False Allegations,5084,3000
Corruption @ AC Office Clerk,08-09-17,"Tumkur,Karnataka",Property Tax,5149,10000
TSTRANSCO - HEAVILY CORRUPT,07-09-17,"Warangal,Telangana",Additional power for High Tension installations,4714,10000
Paid Rs. 100 for police versification for passport,07-09-17,"Bangalore,Karnataka",Background or Personal Verification,2005,100
Harassed and forced to pay bribe for passport verification,05-09-17,"Sidhi,MadhyaPradesh",Police Verification for Passport,3957,1500
For police Verification they asked for 1500 rupees .,05-09-17,"Haldwani,Uttarakhand",Police Verification for Passport,5462,700
Denied License Plate without Bribe,05-09-17,"NewDelhi,Delhi",License Plate,4669,120
Demanded around 400 to 500 as Assessment fee for payment of Property Tax,05-09-17,"Chennai,TamilNadu",Assessment,4488,400
Police verification bribe,05-09-17,"Bangalore,Karnataka",Police Verification for Passport,1854,500
The Joke called RTO Indiranagar,05-09-17,"Bangalore,Karnataka",New Domestic Driving License,3912,2000
Paid to Salim Ahmed - Bahraich Choti Bazar,04-09-17,"Bahraich,UttarPradesh",Issue of Ration Card,7550,50000
I paid 100 INR to get though immigration,04-09-17,"Abhayapuri,Assam",Immigration Check,5909,100
Scam by traffic police,03-09-17,"Mumbai,Maharashtra",Police Harassment,5027,500
Corrupt officer bale shankrappa,03-09-17,"Raichur,Karnataka",Driving licence Process,3777,10000
Patrol bribe,02-09-17,"Chennai,TamilNadu",Police Harassment,3581,1000
I paid the bribe  for passport verification.,02-09-17,"Ghaziabad,UttarPradesh",Police Verification for Passport,5146,1500
NMMC officials - for school admissions,01-09-17,"NaviMumbai,Maharashtra",Admission to School,6664,100000
I had to,31-08-17,"Madhubani,Bihar",Police Verification for Passport,4219,2000
Bribe for passport police verification,31-08-17,"Bhopal,MadhyaPradesh",Police Verification for Passport,5989,500
Bribery in  grossery,30-08-17,"Abhayapuri,Assam",Loan Sanctioning,5058,50000
BBMP officer seeking Bribe for Trade License,30-08-17,"Bangalore,Karnataka",Others,5730,5000
Forced to bride,30-08-17,"Bangalore,Karnataka",Meter Transfer,5028,1500
BBMP officials most corupt,30-08-17,"Bangalore,Karnataka",7/12 Extract,4394,12000
Force to pay bride,30-08-17,"Bangalore,Karnataka",Registration of Property,3263,35000
Forced to paid bribe,30-08-17,"Bangalore,Karnataka",Marriage Registration,3088,2000
MahaOnline Hinjewadi Asking for Bribes,29-08-17,"Pune,Maharashtra",Stamp Duty,4958,150
Paid bribe for MoD registration,29-08-17,"Bangalore,Karnataka",Application for TDR,3046,2000
Paid bribe for flat registration,29-08-17,"Bangalore,Karnataka",Registration of Flat or Apartment,3465,20000
Bribe to clear Police Verification for Passport,29-08-17,"Pune,Maharashtra",Police Verification for Passport,4400,6000
Authority Not Forwarding the file. pending since months asking for bribe on each step,25-08-17,"Jaipur,Rajasthan",Land Acquisition,4768,500
Paid Bribe to accept my complaint,24-08-17,"Tumkur,Karnataka",7/12 Extract,4646,500
Bribe to lodge complaint,24-08-17,"Tumkur,Karnataka",Lodging Police Complaint,4599,1000
For LandSurvey,22-08-17,"Chikmagalur,Karnataka",Urban Land Ceiling Clearance Certificate,4506,5000
"Paid bribe to Sub registrar, Rajajinagar",22-08-17,"Bangalore,Karnataka",Registration of Flat or Apartment,4041,30000
LVO-36 GST HELPDESK,22-08-17,"Bangalore,Karnataka",New Company or Business Registration,6701,1500
Traffic Police Nuisances,21-08-17,"Bangalore,Karnataka",Traffic Violations,1988,100
Paid bribe for correcting mistakes in online 7/12,20-08-17,"Ahmadnagar,Maharashtra",7/12 Extract,4262,50
Bribe for carrying 1 bottle of whiskey from Goa to Bangalore,18-08-17,"Bangalore,Karnataka",Customs Check and Clearance,6575,200
Mr.dilip kumar foreman in kuniyamuthur EB office coimbatore  had demanded rs.54000,18-08-17,"Coimbatore,TamilNadu",Temporary Connection,6603,54000
Bribe on ghumasta from MCGM,18-08-17,"Mumbai,Maharashtra",Bribing of Government Officers,6739,1000
Bribe asked for registration.,17-08-17,"NewDelhi,Delhi",VAT Registration,5205,5000
No Choice But To Pay,17-08-17,"Tiruvannamalai,TamilNadu",Duplicate Driving License,4715,3000
I paid a bribe for police verification,16-08-17,"Bangalore,Karnataka",Police Verification for Passport,2445,500
HIGH LEVEL CORRUPTION IN UPPCL DEPARTMENT,16-08-17,"Moradabad,UttarPradesh",Meter Installation,7342,100000
Class 1 Officer asked for 4000 rs,15-08-17,"Solapur,Maharashtra",Tax Clearance Certificate,5454,2000
Bribe to Get a Birth in a Train,14-08-17,"Kanpur,UttarPradesh",Berth Allocation,6426,1200
To get NOC for my Passport,14-08-17,"Kota,Rajasthan",Police Verification for Passport,4469,500
Taken 300 for passport verification,12-08-17,"Mumbai,Maharashtra",Background Verification,4415,300
Paid Traffic Police Rs 200 To Escape Higher Fine,12-08-17,"Bangalore,Karnataka",Traffic Violations,3664,200
Piad 10000 rupees for obtaining Tin Number,11-08-17,"Chennai,TamilNadu",Filing Taxes,6740,10000
Medicine supply,10-08-17,"Kolkata,WestBengal",Government Hospital,6562,1000000
Though there is no entry board traffic police on Marathalli bridge stopped me.,10-08-17,"Bangalore,Karnataka",Traffic Violations,2013,100
DL renewal had to pay 3000 to agent to get work done,08-08-17,"Bangalore,Karnataka",Renewal of Domestic Driving License,4610,3000
Bribe to village accountant for name transfer after my father's death for agricultural land,08-08-17,"Shimoga,Karnataka",Change of Name in Property documents,5904,8000
Bribe Demand for Khata Bifurcation,08-08-17,"Bangalore,Karnataka",Khata Transfer,4806,20000
Paid Bribe to get Marriage certificate,07-08-17,"Bangalore,Karnataka",Others,4469,500
For getting  my 10months salary ..they are asking bribe..,07-08-17,"Hassan,Karnataka",Salary Related,5575,3500
Title Bribe,05-08-17,"Abhayapuri,Assam",Immigration Check,5465,1000
Corrupt policemen,04-08-17,"Bangalore,Karnataka",Police Verification for Passport,4738,500
Corrupt policemen,04-08-17,"Bangalore,Karnataka",Police Verification for Passport,4009,500
"Officer demanded 10000 for carrying less than 500 ml alcohol, annamalai tiger reserve check post",04-08-17,"Pollachi,TamilNadu",Check Post,5473,3000
Officer demanded 10000 inr for carrying 500ml alcohol,04-08-17,"Pollachi,TamilNadu",Check Post,5434,3000
Bribe in Koramangala RTO,04-08-17,"Bangalore,Karnataka",New International Driving License,3989,2000
Bribe for international driving license,04-08-17,"Bangalore,Karnataka",New International Driving License,3417,2000
Earlier during Service Tax Regime ...Export of service will come under exempted service and no need,01-08-17,"Chennai,TamilNadu",Proof of Export,5589,3000
Transport of a moped takes 1320 & bribe to contractors take 650. Plight of india & it's Citizens,01-08-17,"Chennai,TamilNadu",Contract Work,5782,650
Khatta document and money stuck with the agent Jagadish and BBMP Babu took almost 4 months.,31-07-17,"Bangalore,Karnataka",Residence Certificate,4603,123000
Registration of flat at  Subregistrar Thiruporur Registration Office,31-07-17,"Chennai,TamilNadu",Registration of Flat or Apartment,5099,3500
I feel bad for paying the bribe,29-07-17,"Chilakaluripet,AndhraPradesh",Leave and License Agreement,3756,1000
The Sanitary Inspector In KODAIKANAL Dindigul DT asked for bribe for clearing my Garbage,29-07-17,"Dindigul,TamilNadu",Garbage Collection,6053,4000
"Rs. 3500 bribe paid for cleaning garbage. Kodaikanal, Dindigul district.",29-07-17,"Dindigul,TamilNadu",Garbage Collection,5288,3500
My mom/dad bribed,29-07-17,"Tumkur,Karnataka",Salary Withdrawal,5869,5000
I have paid bribe for my and my wife passport police verification,27-07-17,"Ghaziabad,UttarPradesh",Police Verification for Passport,6338,2000
For Monthly payment,27-07-17,"Bangalore,Karnataka",False Allegations,2943,2000
M. MANU  - The most corrupted Police Officer In India also world.,25-07-17,"Palakkad,Kerala",Police Harassment,3654,214000
Police officer harassing for passport verification,22-07-17,"Bhopal,MadhyaPradesh",Background Verification,5368,500
Paid 2000 Bribe to a BBMP Agent to get a name changed in my Daughter's birth certificate,20-07-17,"Bangalore,Karnataka",Change of Name in Birth Certificate,4788,2000
Bribe for police cerification.,20-07-17,"Bangalore,Karnataka",Police Verification for Passport,3216,800
Chennai Corporation collected 5000 INR bribe for the late property tax enrollment,19-07-17,"Chennai,TamilNadu",House Tax,4930,5000
Private Agencies taking bribe for Aadhar enrollment,17-07-17,"Bangalore,Karnataka",Contract Work,4545,800
Paying in a corrupt system,17-07-17,"Tiruchirappalli,TamilNadu",Cremation,4452,500
Policeman taking bribe,16-07-17,"Shajapur,MadhyaPradesh",Tenant Verification,2649,500
I have paid 1000rs for passport verification to police officer for verification of my passport,15-07-17,"Dehri-on-Sone,Bihar",Police Verification for Passport,4220,1000
I paid bribe for inconvenience,12-07-17,"Bangalore,Karnataka",Vehicle Registration Extract,3539,100
A poor mans PAIN,12-07-17,"Mumbai,Maharashtra",Traffic Violations,4778,100
Towing Police Van demanded bribe of RS. 1500 for releasing the vehicle,12-07-17,"Pune,Maharashtra",Traffic Violations,4585,1500
